Porcine reproductive and respiratory syndrome virus strain SXSZ-2020, complete genome
Porcine reproductive and respiratory syndrome virus strain GXYL1407 NSP2 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain GXBH1311a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBH1310b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1409 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1407b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1407a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXHZ1401 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1407 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1405 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1403e GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1403d GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1403c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1403b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1403a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1310 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1308b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1308a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1307a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXYL1304 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXWZ1410c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXWZ1410b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXWZ1410a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXWZ1301a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXQZ1408 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1410a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1312c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1310f GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1310c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1310b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1310a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1309a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1307 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1305e GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1305d GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1305c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1305b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1305a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1304 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXLZ1306c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXLZ1306b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXLZ1405 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXLB1403 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGL1305b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGL1305a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGG1306 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGG1305b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGG1305a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXGG1304 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1410c GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1410b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1410a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1401b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1401a GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBS1310 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBH1404 GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXBH1311b GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain GXNN1396 GP5 gene, complete cds
Sequence 17 from Patent WO2018083156
Sequence 18 from Patent WO2018083156
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Bulgaria_2-2_2014 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_1_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_2_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_3_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_4_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_5_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_8_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Croatia_H3_2014 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_202_2014 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_660_2011 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10006324_2009 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10008520_2010 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10008705_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10009143_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10009625_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10013966_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10014503_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10016168_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10016466_2013 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10016969_2011 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10017358_2009 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10017729_2009 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10018120_2013 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10024451_2011 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10027406_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10029050_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10030640_2011 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_10030775_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20000780_2013 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20000912_2013 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20003411_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20008442_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20009470_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20009701_2008 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20009784_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20009880_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20012231_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20012780_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20013657_2013 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20014565_2013 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20014781_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20015223_2011 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20015641_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20016729_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20017257_2011 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20018803_2011 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20018929_2012 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20020250_2012 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_20026017_2010 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_30002090_2011 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_100001309_2013 major envelope glycoprotein GP5 gene, complete cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_100003078_2013 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_100003712_2013 major envelope glycoprotein GP5 gene, partial cds
Porcine reproductive and respiratory syndrome virus strain PRRSV-1-1_Hungary_100004659_2013 major envelope glycoprotein GP5 gene, partial cds
